City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.74,72,60,9.3,TF,1686233454
1,adamstown,-25.066,-130.1015,21.6,60,0,5.64,PN,1686233456
2,longyearbyen,78.2186,15.6401,4.91,60,20,10.29,SJ,1686233376
3,georgetown,5.4112,100.3354,30.96,70,20,1.54,MY,1686233401
4,nelidovo,56.2211,32.7774,22.87,30,16,3.84,RU,1686233976
5,quellon,-43.1167,-73.6167,9.14,87,75,5.14,CL,1686233478
6,talnakh,69.4865,88.3972,10.48,77,100,3.22,RU,1686233482
7,papatowai,-46.5619,169.4708,4.5,90,44,1.56,NZ,1686233462
8,howrah,22.5892,88.3103,31.0,84,75,3.6,IN,1686233477
9,iskateley,67.6803,53.1512,9.19,42,100,3.9,RU,1686233465
10,bredasdorp,-34.5322,20.0403,17.32,73,95,7.39,ZA,1686233456
11,kavieng,-2.5744,150.7967,27.6,77,100,1.85,PG,1686233976
12,port elizabeth,-33.918,25.5701,21.17,60,0,1.03,ZA,1686233460
13,hawaiian paradise park,19.5933,-154.9731,21.13,85,0,2.57,US,1686233462
14,alofi,-19.0595,-169.9187,24.37,82,100,6.53,NU,1686233463
15,wewak,-3.5534,143.6268,26.73,83,8,1.61,PG,1686233977
16,altai,46.3722,96.2583,18.86,22,15,0.48,MN,1686233977
17,sabang,5.8933,95.3214,28.59,78,100,9.35,ID,1686233977
18,port blair,11.6667,92.75,28.06,84,100,8.46,IN,1686233977
19,lebu,-37.6167,-73.65,14.0,94,100,12.89,CL,1686233383
20,ushuaia,-54.8,-68.3,-2.21,92,12,0.6,AR,1686233461
21,hermanus,-34.4187,19.2345,16.35,86,100,10.41,ZA,1686233469
22,moree,-29.4667,149.85,12.0,94,0,1.57,AU,1686233977
23,stanley,54.868,-1.6985,14.01,67,75,4.12,GB,1686233457
24,chegdomyn,51.1167,133.0167,13.64,92,100,0.47,RU,1686233488
